           U       FCI_energy           energy           n0_FCI           n1_FCI           n2_FCI           n3_FCI           n4_FCI           n5_FCI       n0_cluster       n1_cluster       n2_cluster       n3_cluster       n4_cluster       n5_cluster            n0_KS            n1_KS            n2_KS            n3_KS            n4_KS            n5_KS            vHxc0            vHxc1            vHxc2            vHxc3            vHxc4            vHxc5           N_elec               mu 
    0.000000    -14.771658558    -14.771658558      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706972      0.926762240      0.052934075      0.938689552      0.143296055      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      6.000000005      0.000000000 
    1.000000    -12.376727505    -12.380215924      0.784148906      0.129415693      0.900379215      0.069887865      0.921265673      0.194902648      0.785185590      0.129270339      0.900673693      0.069731661      0.921269699      0.193869015      0.785185597      0.129270337      0.900673696      0.069731667      0.921269694      0.193869010      0.307627276     -0.379501273      0.412819455     -0.434444193      0.422889589     -0.329394156      5.999999995     -0.000470411 
    2.000000    -10.177390152    -10.198290522      0.721975925      0.167123960      0.861864566      0.093780041      0.899143292      0.256112216      0.726683262      0.166528191      0.864047396      0.092652798      0.898942300      0.251146061      0.726683263      0.166528192      0.864047391      0.092652794      0.898942300      0.251146059      0.543061575     -0.713131113      0.788119441     -0.832868303      0.813481998     -0.598668478      6.000000015     -0.002878395 
    3.000000     -8.213323893     -8.275461147      0.663594599      0.212398197      0.808404851      0.126098155      0.870895028      0.318609170      0.673953714      0.209948594      0.816574690      0.122095852      0.870429060      0.306998089      0.673953712      0.209948592      0.816574693      0.122095848      0.870429060      0.306998096      0.705044310     -1.000149445      1.107785956     -1.184276323      1.173175341     -0.801585471      5.999999997     -0.006836576 
    5.000000     -5.111919225     -5.306275935      0.582101556      0.327876514      0.676733294      0.220249550      0.778884225      0.414154861      0.603232307      0.304579211      0.711901456      0.197544106      0.793098707      0.389644212      0.603232306      0.304579211      0.711901456      0.197544104      0.793098709      0.389644214      0.880290505     -1.438442082      1.530917348     -1.763662873      1.795517844     -1.004622498      5.999999997     -0.005873381 
    7.000000     -3.222902222     -3.433402368      0.537263469      0.429166323      0.582734541      0.350933794      0.640520507      0.459381365      0.564782630      0.382096747      0.634057477      0.284112736      0.702239974      0.432710432      0.564782630      0.382096750      0.634057475      0.284112737      0.702239979      0.432710429      0.952570926     -1.706175652      1.725763937     -2.207022220      2.266308776     -1.031441967      5.999999990      0.007242303 
   10.000000     -1.977020276     -2.027936040      0.512965635      0.478685213      0.528939656      0.454746083      0.540559685      0.484103728      0.533691138      0.444458864      0.568744203      0.389894515      0.599414478      0.463796809      0.533691138      0.444458858      0.568744203      0.389894520      0.599414477      0.463796804      0.980001502     -1.875953688      1.853524240     -2.627971410      2.671776606     -1.001259647      6.000000012      0.017551060 
   15.000000     -1.220033177     -1.203542125      0.504003920      0.493956601      0.508175885      0.488847976      0.509971693      0.495043925      0.512981178      0.480186961      0.524902872      0.464093175      0.532426608      0.485409197      0.512981177      0.480186963      0.524902874      0.464093180      0.532426609      0.485409196      0.989226284     -1.956002682      1.942654960     -2.885759723      2.899043051     -0.989108254      5.999999982      0.010875081 
   30.000000     -0.582532829     -0.583711617      0.500522667      0.499253862      0.500974337      0.498776920      0.501105796      0.499366418      0.501911748      0.497285188      0.503281875      0.495775073      0.503908966      0.497837158      0.501911748      0.497285187      0.503281873      0.495775072      0.503908965      0.497837155      0.997655308     -1.993800832      1.992008677     -2.987370202      2.988302174     -0.997169098      6.000000017      0.002370389 
   50.000000     -0.346118059     -0.350642238      0.500114066      0.499839174      0.500207970      0.499743378      0.500232810      0.499862601      0.500426705      0.499404847      0.500708290      0.499112486      0.500826768      0.499517630      0.500427260      0.499405395      0.500708840      0.499113024      0.500827302      0.499518178      0.999424110     -1.998637555      1.998249679     -2.997402634      2.997543163     -0.999318512      5.999993452     -0.002385066 
  100.000000     -0.172347445     -0.175435963      0.500014321      0.499979914      0.500025862      0.499968316      0.500028789      0.499982798      0.500054154      0.499925286      0.500088475      0.499890634      0.500102382      0.499939016      0.500054163      0.499925294      0.500088484      0.499890645      0.500102387      0.499939027      0.999971295     -1.999781419      1.999827391     -2.999635682      2.999744105     -0.999863947      5.999999896     -0.000236506 
