           U       FCI_energy           energy           n0_FCI           n1_FCI           n2_FCI           n3_FCI           n4_FCI           n5_FCI       n0_cluster       n1_cluster       n2_cluster       n3_cluster       n4_cluster       n5_cluster            n0_KS            n1_KS            n2_KS            n3_KS            n4_KS            n5_KS            vHxc0            vHxc1            vHxc2            vHxc3            vHxc4            vHxc5           N_elec               mu 
    0.000000    -14.771658558    -14.771658558      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706972      0.926762240      0.052934075      0.938689552      0.143296055      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      6.000000005      0.000000000 
    1.000000    -12.376727505   -154.373956551      0.784148906      0.129415693      0.900379215      0.069887865      0.921265673      0.194902648      0.998972666      0.000883675      0.999368678      0.000575581      0.999346913      0.000875903      0.999011945      0.000843146      0.999387770      0.000554206      0.999366987      0.000835947    -19.315752861     22.233541749    -27.803175856     27.878574691    -25.450795098     23.938935761      6.000046830      0.128192913 
    2.000000    -10.177390152   -234.845746384      0.721975925      0.167123960      0.861864566      0.093780041      0.899143292      0.256112216      0.999610536      0.000364441      0.999673279      0.000287295      0.999687005      0.000406632      0.999626082      0.000340842      0.999685256      0.000270675      0.999698267      0.000378879    -37.313433346     36.274830217    -36.222508011     42.024067311    -40.807994641     30.690608037      6.000058375      0.524474470 
    3.000000     -8.213323893   -149.488321445      0.663594599      0.212398197      0.808404851      0.126098155      0.870895028      0.318609170      0.999146467      0.000732582      0.999302916      0.000834657      0.999105260      0.000879188      0.999242727      0.000655096      0.999374601      0.000740971      0.999208339      0.000778266    -23.147198001     26.273304937    -28.130010354     21.580965726    -21.845912990     25.111879240      6.000002141      0.007326191 
    5.000000     -5.111919225   -219.581232113      0.582101556      0.327876514      0.676733294      0.220249550      0.778884225      0.414154861      0.499940728      0.000379849      0.999863210      0.000157688      0.999736357      0.499941240      0.499939780      0.000341891      0.999873862      0.000144518      0.999759648      0.499940300      8.051757889     46.742483297    -70.485240793     55.627057993    -45.946586464      6.010806791      6.000038142     -0.001553429 
    7.000000     -3.222902222   -167.751456272      0.537263469      0.429166323      0.582734541      0.350933794      0.640520507      0.459381365      0.000459811      0.000229193      0.999588446      0.000519785      0.999683802      0.999558738      0.000341548      0.000184952      0.999655740      0.000413386      0.999745949      0.999658425     29.807887834     28.826348448    -40.701448062     33.443130662    -23.284679003    -26.321678646      6.000079551      0.486468797 
   10.000000     -1.977020276  -1533.606489598      0.512965635      0.478685213      0.528939656      0.454746083      0.540559685      0.484103728      0.000006336      0.999997838      0.000001522      0.000277827      0.999975924      0.999997138      0.000004784      0.999997531      0.000001256      0.000049671      0.999950330      0.999996429    369.693395555   -540.896880498    355.584749915     56.516341425    -79.370806504   -161.528264263      6.000513170     71.914272164 
   15.000000     -1.220033177     -1.189566444      0.504003920      0.493956601      0.508175885      0.488847976      0.509971693      0.495043925      0.499999999      0.499999999      0.499999999      0.499999999      0.499999999      0.499999999      0.500000001      0.500000001      0.500000001      0.499999999      0.499999999      0.499999998      1.000055208     -1.999944794      2.000055207     -2.999944784      3.000055221     -0.999944779      5.999999989     -0.000000209 
   30.000000     -0.582532829   -610.024400005      0.500522667      0.499253862      0.500974337      0.498776920      0.501105796      0.499366418      0.999981642      0.000057348      0.999953422      0.999733930      0.000265809      0.000006184      0.999984606      0.000042122      0.999967912      0.999880040      0.000119964      0.000005356   -220.642309399     91.934433315    -80.614825575    -48.725804696     48.572992051    209.524059947      5.999996670     -0.016984501 
   50.000000     -0.346118059     -0.352350694      0.500114066      0.499839174      0.500207970      0.499743378      0.500232810      0.499862601      0.499999644      0.499999644      0.499999644      0.499999644      0.499999644      0.499999644      0.500000012      0.499999999      0.499999988      0.499999994      0.499999999      0.500000008      0.999942313     -2.000057612      1.999942452     -3.000057577      2.999942386     -1.000057667      5.999995732     -0.002228526 
  100.000000     -0.172347445     -0.176093348      0.500014321      0.499979914      0.500025862      0.499968316      0.500028789      0.499982798      0.499999993      0.499999993      0.499999993      0.499999993      0.499999993      0.499999993      0.500000000      0.499999997      0.499999999      0.500000001      0.500000001      0.500000002      0.999922784     -2.000077202      1.999922786     -3.000077227      2.999922773     -1.000077230      5.999999912     -0.000359495 
