           U       FCI_energy           energy           n0_FCI           n1_FCI           n2_FCI           n3_FCI           n4_FCI           n5_FCI       n0_cluster       n1_cluster       n2_cluster       n3_cluster       n4_cluster       n5_cluster            n0_KS            n1_KS            n2_KS            n3_KS            n4_KS            n5_KS            vHxc0            vHxc1            vHxc2            vHxc3            vHxc4            vHxc5           N_elec               mu 
    0.000000    -14.771658558    -14.771658558      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296053      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      6.000000000      0.000000000 
    1.000000    -12.376727505    -12.380080291      0.784148906      0.129415693      0.900379215      0.069887865      0.921265673      0.194902648      0.785230509      0.129294354      0.900686408      0.069740462      0.921278461      0.193903547      0.785212110      0.129273221      0.900663014      0.069713281      0.921253315      0.193885059      0.306890619     -0.379801320      0.413174186     -0.433446454      0.423233635     -0.330051966      6.000267479      0.000000000 
    2.000000    -10.177390152    -10.196209290      0.721975925      0.167123960      0.861864566      0.093780041      0.899143292      0.256112216      0.726992538      0.166726864      0.864161948      0.092726474      0.899024502      0.251402949      0.726837124      0.166562185      0.863985634      0.092527855      0.898837681      0.251249520      0.539993182     -0.714439808      0.789317039     -0.828616338      0.815161384     -0.601412509      6.002070550      0.000000000 
    3.000000     -8.213323893     -8.267060648      0.663594599      0.212398197      0.808404851      0.126098155      0.870895028      0.318609170      0.674644296      0.210513239      0.816971095      0.122345529      0.870714587      0.307606563      0.674206071      0.210061777      0.816494403      0.121832334      0.870231737      0.307173678      0.701267715     -1.002155069      1.108654467     -1.178611081      1.175744460     -0.804901349      6.005590617      0.000000000 
    5.000000     -5.111919225     -5.294151279      0.582101556      0.327876514      0.676733294      0.220249550      0.778884225      0.414154861      0.603601083      0.305044344      0.712352144      0.197923960      0.793495510      0.390006223      0.603251025      0.304651746      0.711907637      0.197464498      0.793082725      0.389642368      0.880072967     -1.438995515      1.530815390     -1.762875150      1.795731225     -1.004744298      6.004846529      0.000000000 
    7.000000     -3.222902222     -3.450311406      0.537263469      0.429166323      0.582734541      0.350933794      0.640520507      0.459381365      0.564523338      0.381713196      0.633622554      0.283569996      0.701717622      0.432438275      0.564827725      0.382065967      0.634065825      0.284067863      0.702173819      0.432798801      0.952210298     -1.706059726      1.725759962     -2.206638613      2.266698716     -1.031948693      5.995169962      0.000000000 
   10.000000     -1.977020276     -2.059483786      0.512965635      0.478685213      0.528939656      0.454746083      0.540559685      0.484103728      0.533404053      0.444045539      0.568207555      0.389045006      0.598662764      0.463477790      0.533836769      0.444513016      0.568766117      0.389664839      0.599251201      0.463968059      0.979034785     -1.876383132      1.853531165     -2.626563094      2.672723130     -1.002189844      5.993685412      0.000000000 
   15.000000     -1.220033177     -1.212233683      0.504003920      0.493956601      0.508175885      0.488847976      0.509971693      0.495043925      0.512917251      0.480105755      0.524803586      0.463952372      0.532300994      0.485340274      0.513009415      0.480199704      0.524901942      0.464053538      0.532400449      0.485434952      0.989020164     -1.956119809      1.942651651     -2.885558885      2.899163178     -0.989275181      5.998840464      0.000000000 
   30.000000     -0.582532829     -0.584084115      0.500522667      0.499253862      0.500974337      0.498776920      0.501105796      0.499366418      0.501909921      0.497283214      0.503279769      0.495772707      0.503906694      0.497835287      0.501912004      0.497285271      0.503281835      0.495774830      0.503908739      0.497837320      0.997706974     -1.993748229      1.992062195     -2.987315528      2.988356616     -0.997116795      5.999975182      0.000000000 
   50.000000     -0.346118059     -0.350518649      0.500114066      0.499839174      0.500207970      0.499743378      0.500232810      0.499862601      0.500427098      0.499405252      0.500708706      0.499112920      0.500827196      0.499518027      0.500427235      0.499405384      0.500708840      0.499113054      0.500827330      0.499518158      0.999427867     -1.998633879      1.998253269     -2.997399211      2.997546614     -0.999314819      5.999998396      0.000000000 
  100.000000     -0.172347445     -0.175433025      0.500014321      0.499979914      0.500025862      0.499968316      0.500028789      0.499982798      0.500054159      0.499925291      0.500088480      0.499890639      0.500102387      0.499939021      0.500054163      0.499925293      0.500088484      0.499890643      0.500102392      0.499939023      0.999950872     -1.999801845      1.999806974     -2.999656102      2.999723657     -0.999884369      5.999999954      0.000000000 
