           U       FCI_energy           energy           n0_FCI           n1_FCI           n2_FCI           n3_FCI           n4_FCI           n5_FCI       n0_cluster       n1_cluster       n2_cluster       n3_cluster       n4_cluster       n5_cluster            n0_KS            n1_KS            n2_KS            n3_KS            n4_KS            n5_KS            vHxc0            vHxc1            vHxc2            vHxc3            vHxc4            vHxc5           N_elec               mu 
    0.000000    -14.771658558    -14.771658558      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296055      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296053      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      6.000000001      0.000000000 
    1.000000    -12.376727505    -12.370229271      0.784148906      0.129415693      0.900379215      0.069887865      0.921265673      0.194902648      0.803516204      0.118028965      0.910569651      0.063417159      0.927976002      0.176492019      0.803516205      0.118028965      0.910569651      0.063417159      0.927976002      0.176492018      0.221113897     -0.248160081      0.280337015     -0.291278000      0.272215574     -0.227030292      6.000000000      0.000000000 
    2.000000    -10.177390152    -10.148786599      0.721975925      0.167123960      0.861864566      0.093780041      0.899143292      0.256112216      0.762338635      0.140556034      0.889756139      0.076576027      0.915444011      0.215329154      0.762338637      0.140556036      0.889756139      0.076576026      0.915444011      0.215329151      0.418545769     -0.480217646      0.549366327     -0.572074193      0.528839681     -0.435231214      6.000000000      0.000000000 
    3.000000     -8.213323893     -8.145998011      0.663594599      0.212398197      0.808404851      0.126098155      0.870895028      0.318609170      0.718687593      0.166377519      0.863311742      0.092826987      0.900822890      0.257973272      0.718687594      0.166377519      0.863311741      0.092826986      0.900822891      0.257973269      0.584931907     -0.697074622      0.801817096     -0.838163335      0.769535292     -0.621681553      6.000000006      0.000000000 
    5.000000     -5.111919225     -4.903098974      0.582101556      0.327876514      0.676733294      0.220249550      0.778884225      0.414154861      0.639612666      0.227925931      0.792698591      0.134734184      0.863421796      0.341606813      0.639612672      0.227925934      0.792698593      0.134734186      0.863421799      0.341606816      0.806950974     -1.087866069      1.234755051     -1.311257704      1.210131275     -0.917559429      5.999999963      0.000000000 
    7.000000     -3.222902222     -2.702457051      0.537263469      0.429166323      0.582734541      0.350933794      0.640520507      0.459381365      0.587476982      0.297714492      0.710506285      0.187221015      0.812664629      0.404416585      0.587476984      0.297714507      0.710506283      0.187221022      0.812664623      0.404416581      0.918076848     -1.401885550      1.553368146     -1.700798160      1.615389400     -1.081918435      5.999999975      0.000000000 
   10.000000     -1.977020276     -1.025282242      0.512965635      0.478685213      0.528939656      0.454746083      0.540559685      0.484103728      0.546672846      0.389164074      0.614452535      0.280109423      0.716296111      0.453304996      0.546672848      0.389164073      0.614452531      0.280109429      0.716296118      0.453305002      1.007313248     -1.705236559      1.822102307     -2.166830185      2.162522943     -1.111198737      5.999999968      0.000000000 
   15.000000     -1.220033177     -0.539056892      0.504003920      0.493956601      0.508175885      0.488847976      0.509971693      0.495043925      0.518629226      0.462296740      0.543335262      0.412359195      0.582368550      0.481010917      0.518629244      0.462296756      0.543335282      0.412359213      0.582368571      0.481010934      1.037812811     -1.883659642      1.961348553     -2.663801511      2.739156320     -1.010557222      5.999999778      0.000000000 
   30.000000     -0.582532829     -0.501100087      0.500522667      0.499253862      0.500974337      0.498776920      0.501105796      0.499366418      0.502689065      0.495476402      0.505220990      0.492123335      0.507420742      0.497068192      0.502689282      0.495476617      0.505221201      0.492123541      0.507420953      0.497068408      1.008291175     -1.979163403      1.998708035     -2.965105132      2.985962801     -0.989170622      5.999997453      0.000000000 
   50.000000     -0.346118059     -0.334277811      0.500114066      0.499839174      0.500207970      0.499743378      0.500232810      0.499862601      0.500592281      0.499053254      0.501070047      0.498519569      0.501409133      0.499351665      0.500592952      0.499053931      0.501070732      0.498520251      0.501409810      0.499352324      0.998955223     -1.998174122      1.997070937     -2.995984926      2.995066963     -0.999995009      5.999991898      0.000000000 
  100.000000     -0.172347445     -0.173474290      0.500014321      0.499979914      0.500025862      0.499968316      0.500028789      0.499982798      0.500074640      0.499883664      0.500130408      0.499826272      0.500166428      0.499918500      0.500074662      0.499883678      0.500130419      0.499826287      0.500166440      0.499918514      0.999890374     -1.999743494      1.999666820     -2.999511026      2.999451585     -0.999953410      5.999999823      0.000000000 
