           U       FCI_energy           energy           n0_FCI           n1_FCI           n2_FCI           n3_FCI           n4_FCI           n5_FCI       n0_cluster       n1_cluster       n2_cluster       n3_cluster       n4_cluster       n5_cluster            n0_KS            n1_KS            n2_KS            n3_KS            n4_KS            n5_KS            vHxc0            vHxc1            vHxc2            vHxc3            vHxc4            vHxc5           N_elec               mu 
    0.000000    -14.771658558    -14.771658558      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296054      0.839611108      0.098706971      0.926762240      0.052934075      0.938689552      0.143296053      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      0.000000000      6.000000001      0.000000000 
    1.000000    -12.376727505     -9.565782802      0.784148906      0.129415693      0.900379215      0.069887865      0.921265673      0.194902648      0.733322829      0.158983800      0.870031982      0.089248553      0.905108663      0.243304180      0.733322829      0.158983801      0.870031978      0.089248550      0.905108664      0.243304178      0.536495037     -0.632194004      0.752157114     -0.793479375      0.703253467     -0.554514032      6.000000014      0.000000000 
    2.000000    -10.177390152     -6.270736706      0.721975925      0.167123960      0.861864566      0.093780041      0.899143292      0.256112216      0.645918085      0.230960560      0.785305520      0.143154565      0.859131566      0.335529694      0.645918090      0.230960556      0.785305518      0.143154568      0.859131567      0.335529700      0.800942653     -1.080278564      1.291375492     -1.399308759      1.261038484     -0.871916276      5.999999981      0.000000000 
    3.000000     -8.213323893     -4.345281432      0.663594599      0.212398197      0.808404851      0.126098155      0.870895028      0.318609170      0.593840378      0.299464004      0.700374901      0.205386108      0.801583347      0.399351253      0.593840382      0.299464005      0.700374904      0.205386108      0.801583347      0.399351254      0.914794494     -1.374692171      1.607914828     -1.831121079      1.701706990     -1.031676895      5.999999982      0.000000000 
    5.000000     -5.111919225  -1758.870770972      0.582101556      0.327876514      0.676733294      0.220249550      0.778884225      0.414154861      0.477248165      0.158529119      0.999526636      0.000012898      0.999958878      0.364086300      0.477139408      0.158557899      0.999987052      0.000001374      0.999997848      0.364316420      0.606845148     -2.112418838   -261.831203024    799.417715252   -616.352876679     -1.700598847      5.998723993      0.000000000 
    7.000000     -3.222902222     -1.890553573      0.537263469      0.429166323      0.582734541      0.350933794      0.640520507      0.459381365      0.524071680      0.440808937      0.553792256      0.399098295      0.604262250      0.477966561      0.524071670      0.440808930      0.553792258      0.399098298      0.604262267      0.477966577      1.009924249     -1.831206896      1.918340992     -2.665174214      2.617381605     -1.063150722      5.999999958      0.000000000 
   10.000000     -1.977020276     -1.436006451      0.512965635      0.478685213      0.528939656      0.454746083      0.540559685      0.484103728      0.511651028      0.472587044      0.525749578      0.454104386      0.546856488      0.489051436      0.511651035      0.472587055      0.525749590      0.454104391      0.546856480      0.489051449      1.003949408     -1.923181377      1.956594973     -2.851887280      2.832719999     -1.025382728      5.999999921      0.000000000 
   15.000000     -1.220033177     -1.047012012      0.504003920      0.493956601      0.508175885      0.488847976      0.509971693      0.495043925      0.504517561      0.490058837      0.509648282      0.484025747      0.516133032      0.495616416      0.504517573      0.490058847      0.509648302      0.484025784      0.516133062      0.495616432      1.000289931     -1.972421005      1.982063244     -2.949432130      2.943820424     -1.006462013      5.999999751      0.000000000 
   30.000000     -0.582532829     -0.576671628      0.500522667      0.499253862      0.500974337      0.498776920      0.501105796      0.499366418      0.500695117      0.498565077      0.501421919      0.497801034      0.502201793      0.499307691      0.500696350      0.498566322      0.501423139      0.497802253      0.502203015      0.499308921      0.998220964     -1.997669780      1.995535361     -2.994788349      2.990883987     -1.002153353      5.999985259      0.000000000 
   50.000000     -0.346118059     -0.349215415      0.500114066      0.499839174      0.500207970      0.499743378      0.500232810      0.499862601      0.500158280      0.499679733      0.500319292      0.499515658      0.500484643      0.499842018      0.500158346      0.499679794      0.500319359      0.499515718      0.500484705      0.499842077      0.999570966     -1.999499679      1.998970421     -2.998883051      2.997980637     -1.000475684      5.999999246      0.000000000 
  100.000000     -0.172347445     -0.175204826      0.500014321      0.499979914      0.500025862      0.499968316      0.500028789      0.499982798      0.500020247      0.499959387      0.500040584      0.499938953      0.500061059      0.499979765      0.500020247      0.499959386      0.500040585      0.499938954      0.500061064      0.499979764      0.999957357     -1.999924090      1.999881191     -2.999847435      2.999758395     -1.000046443      5.999999991      0.000000000 
